casting_processes,casting_size_from,casting_size_to,country,employees,metals,name,state,value_added_processes,zip
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",1.0,2000.0,US,110.0,"Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series)",BOOSE ALUMINUM FOUNDRY CO INC,PA,"Heat Treat,Patternmaking",17567.0
"Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",0.0,80.0,US,50.0,Aluminum Silicon (300 Series),BOOSE AT CORNWALL INC,PA,"Engineering and Design,Finish Machining,Heat Treat,Patternmaking,Rough Machining",17042.0
Air-Set/Nobake,50.0,70000.0,US,1500.0,"Abrasion Resistant Iron,Carbon Steel,Corrosion Resistant Steel,Heat Resistant Steel,Low Alloy Steel",BRADKEN INC,MO,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",64163.0
"Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",0.5,75.0,US,250.0,"Austempered Ductile Iron,Ductile Iron,Gray Iron,Heat Resistant Iron,Other Cast Irons",BREMEN CASTINGS INC,IN,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",46506.0
Air-Set/Nobake,2.0,3000.0,US,55.0,"Abrasion Resistant Iron,Gray Iron",C L DEWS & SONS FOUNDRY & MACHINERY CO INC,MS,"Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining",39401.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",2.0,150.0,US,450.0,"Ductile Iron,Heat Resistant Iron,Other Cast Irons",CADILLAC CASTING INC,MI,"Assembly,Engineering and Design,Finish Machining,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",49601.0
"Diecasting,Permanent Mold-Gravity/Tilt Pour",0.0,6.0,Canada,250.0,"Aluminum Silicon (300 Series),Aluminum Silicon (400 Series),Lead,Other Aluminum,Other Nonferrous,Zinc-Base",CANADA METAL (PACIFIC) LTD,British Columbia,"Assembly,Coating,Engineering and Design,Finish Machining,Painting,Patternmaking,Rough Machining,Surface Treatments",0.0
"Air-Set/Nobake,Investment Casting,Lost Foam (EPC/Full Mold),Plaster Mold,Shell Mold",0.25,275.0,US,12.0,"Aluminum Silicon (400 Series),Mn/Al-Si Bronze + Cu-Ni Alloys",CAROLINA BRONZE SCULPTURE INC,NC,"Assembly,Coating,Engineering and Design,Finish Machining,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",27341.0
Air-Set/Nobake,1.0,2000.0,US,15.0,"Abrasion Resistant Iron,Corrosion Resistant Steel,Ductile Iron,Gray Iron,Heat Resistant Steel,Low Alloy Steel,Other Cast Irons",CAROLINA METAL CASTINGS,SC,"Finish Machining,Heat Treat,Patternmaking,Rough Machining",29927.0
"Permanent Mold-Gravity/Tilt Pour,Permanent Mold-Low Pressure",0.0,150.0,US,80.0,"Aluminum Silicon (300 Series),Other Aluminum",CAST ALUMINUM SOLUTIONS LLC,IL,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Rough Machining",60510.0
"Green Sand-Horizontally Parted,Permanent Mold-Gravity/Tilt Pour",1.0,400.0,US,110.0,"Aluminum Copper (200 Series),Aluminum Silicon (300 Series),Mn/Al-Si Bronze + Cu-Ni Alloys,Other Aluminum,Red/Yellow Brass/Tin-Bronze",CAST TECHNOLOGIES INC,IL,"Assembly,Finish Machining,Heat Treat,Painting,Prototyping,Rough Machining",61602.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Shell Mold",1.0,600.0,US,120.0,"Abrasion Resistant Iron,Heat Resistant Iron,Heat Resistant Steel,Low Alloy Steel,Manganese Steel",CASTALLOY INC,WI,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining,Surface Treatments",53189.0
"Air-Set/Nobake,Green Sand-Vertically Parted,Green Sand-Horizontally Parted",1.0,580.0,US,120.0,"Ductile Iron,Gray Iron",CASTING SOLUTIONS LLC,OH,"Finish Machining,Rough Machining",43702.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Vertically Parted,Green Sand-Horizontally Parted,Shell Mold",0.0,60.0,US,230.0,"Abrasion Resistant Iron,Austempered Ductile Iron,Carbon Steel,Corrosion Resistant Iron,Ductile Iron,Gray Iron,Heat Resistant Iron,Heat Resistant Steel,Other Cast Irons",CASTWELL PRODUCTS LLC,IL,"Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Prototyping,Rough Machining",60077.0
,0.0,0.0,Mexico,0.0,"Other Cast Irons,Other Cast Steel",CATERPILLAR DE MEXICO,Nuevo Leon,,66350.0
"Air-Set/Nobake,Green Sand-Horizontally Parted,Permanent Mold-Gravity/Tilt Pour,Permanent Mold-Low Pressure",1.0,200.0,US,75.0,"Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),Aluminum Silicon (400 Series),Magnesium,Mn/Al-Si Bronze + Cu-Ni Alloys,Red/Yellow Brass/Tin-Bronze",CENTURY BRASS WORKS INC,IL,"Assembly,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining",62226.0
Air-Set/Nobake,5.0,1600.0,US,40.0,"Ductile Iron,Gray Iron",CFM CORP,OK,"Assembly,Finish Machining,Patternmaking,Rough Machining",74631.0
"Permanent Mold-Gravity/Tilt Pour,Permanent Mold-Low Pressure",1.0,10.0,US,250.0,"Mn/Al-Si Bronze + Cu-Ni Alloys,Red/Yellow Brass/Tin-Bronze",CHICAGO FAUCET CO,WI,"Engineering and Design,Finish Machining,Rough Machining",53218.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",1.0,50.0,US,80.0,"Aluminum Silicon (300 Series),Magnesium",CHICAGO MAGNESIUM CASTING CO,IL,"Engineering and Design,Heat Treat,Surface Treatments",60406.0
Green Sand-Horizontally Parted,0.0,0.0,US,50.0,Aluminum Silicon (300 Series),CLAY & BAILEY MFG CO,MO,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining,Surface Treatments",64129.0
Green Sand-Horizontally Parted,50.0,40000.0,US,350.0,"Abrasion Resistant Iron,Carbon Steel,Corrosion Resistant Steel,Heat Resistant Iron,Heat Resistant Steel,Low Alloy Steel,Manganese Steel,Other Cast Irons,Other Cast Steel",COLUMBIA STEEL CASTING CO INC,OR,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining",97203.0
"Air-Set/Nobake,Investment Casting",0.0,2000.0,US,300.0,"Carbon Steel,Corrosion Resistant Steel,Heat Resistant Steel,Low Alloy Steel,Nickel-Base,Superalloys,Titanium",CONBRACO INDUSTRIES INC,SC,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Patternmaking,Prototyping,Rough Machining",29526.0
"Air-Set/Nobake,Green Sand-Horizontally Parted,Investment Casting,Shell Mold",0.0,0.0,US,300.0,"Carbon Steel,Corrosion Resistant Steel,High Copper Alloys,Low Alloy Steel,Mn/Al-Si Bronze + Cu-Ni Alloys",CONBRACO INDUSTRIES INC,NC,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Patternmaking,Rough Machining",28105.0
Green Sand-Horizontally Parted,0.0,0.0,US,80.0,"High Copper Alloys,Other Copper-Base Alloys",CONBRACO INDUSTRIES INC,SC,,29728.0
"Air-Set/Nobake,Gas-Hardened/Coldbox",5.0,500.0,US,515.0,"Aluminum Copper (200 Series),Aluminum Silicon (300 Series),Magnesium",CPP - MINNEAPOLIS,MN,"Assembly,Engineering and Design,Heat Treat,Patternmaking",55420.0
"Air-Set/Nobake,Diecasting,Green Sand-Vertically Parted,Investment Casting,Permanent Mold-Gravity/Tilt Pour,Permanent Mold-Low Pressure,Plaster Mold",0.0,1000.0,US,20.0,"Aluminum Silicon (300 Series),Austempered Ductile Iron,Carbon Steel,Ductile Iron,Gray Iron,Malleable Iron",CRAFT PATTERN & MOLD INC,MN,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",55363.0
"Air-Set/Nobake,Green Sand-Horizontally Parted",0.25,800.0,US,42.0,"Ductile Iron,Gray Iron",CUMBERLAND FOUNDRY CO INC,RI,"Heat Treat,Patternmaking",2864.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Vertically Parted,Green Sand-Horizontally Parted",1.0,50.0,US,30.0,"Aluminum Copper (200 Series),Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),Magnesium",CURTO-LIGONIER FOUNDRIES CO,IL,"Engineering and Design,Finish Machining,Heat Treat,Patternmaking,Rough Machining,Surface Treatments",60160.0
Green Sand-Horizontally Parted,1.0,50.0,US,315.0,"Ductile Iron,Gray Iron",CWC TEXTRON,MI,"Engineering and Design,Heat Treat,Rough Machining",49441.0
"Air-Set/Nobake,Green Sand-Horizontally Parted",10.0,1000.0,US,150.0,"Ductile Iron,Gray Iron",D & L FOUNDRY INC,WA,Patternmaking,98837.0
"Air-Set/Nobake,Centrifugal Casting",0.25,3000.0,US,50.0,"Abrasion Resistant Iron,Carbon Steel,Cobalt-Base,Corrosion Resistant Iron,Corrosion Resistant Steel,Ductile Iron,Gray Iron,Heat Resistant Iron,Heat Resistant Steel,High Copper Alloys,Low Alloy Steel,Mn/Al-Si Bronze + Cu-Ni Alloys,Nickel-Base,Red/Yellow Brass/Tin-Bronze,Superalloys",D W CLARK INC,MA,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",2333.0
,0.0,0.0,US,43.0,"Ductile Iron,Gray Iron",DAKOTA FOUNDRY,SD,,57274.0
Air-Set/Nobake,50.0,15000.0,US,115.0,"Compacted Graphite Iron,Ductile Iron,Gray Iron",DECATUR FOUNDRY INC,IL,"Engineering and Design,Finish Machining,Painting,Patternmaking,Prototyping,Rough Machining",62526.0
"Air-Set/Nobake,Green Sand-Vertically Parted,Green Sand-Horizontally Parted",5.0,1400.0,US,250.0,Gray Iron,DEETER FOUNDRY INC,NE,"Assembly,Finish Machining,Patternmaking,Rough Machining",68529.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Permanent Mold-Gravity/Tilt Pour,Permanent Mold-Low Pressure",1.0,3000.0,US,148.0,"Aluminum Copper (200 Series),Aluminum Silicon (300 Series),Other Aluminum",DENISON INDUSTRIES,TX,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",75020.0
,1.0,250.0,US,0.0,"Ductile Iron,Gray Iron",DONSCO INC,PA,,17552.0
"Gas-Hardened/Coldbox,Green Sand-Vertically Parted,Green Sand-Horizontally Parted",1.0,200.0,US,350.0,"Austempered Ductile Iron,Ductile Iron,Gray Iron,Heat Resistant Iron",DONSCO INC,PA,"Assembly,Coating,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining",17368.0
"Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",2.0,50.0,US,150.0,"Austempered Ductile Iron,Ductile Iron",DOTSON IRON CASTINGS,MN,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",56001.0
Air-Set/Nobake,1.0,100.0,US,48.0,"Aluminum Copper (200 Series),Aluminum Silicon (300 Series),Aluminum Silicon (400 Series),Ductile Iron,Gray Iron,Heat Resistant Iron",DUALTECH INNOVATIVE CASTING TECH,IN,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",46131.0
"Air-Set/Nobake,Green Sand-Horizontally Parted,Shell Mold,Squeeze/Semisolid",0.0,0.0,US,75.0,"Aluminum Copper (200 Series),Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),Magnesium",DURO CAST INC,IL,"Assembly,Engineering and Design,Finish Machining,Painting,Patternmaking,Rough Machining,Surface Treatments",60552.0
"Gas-Hardened/Coldbox,Investment Casting,Permanent Mold-Gravity/Tilt Pour,Shell Mold",3.0,400.0,US,400.0,"Aluminum Silicon (300 Series),Carbon Steel,Corrosion Resistant Steel,Heat Resistant Steel,Low Alloy Steel,Other Aluminum",EAGLE ALLOY INC,MI,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",49442.0
Investment Casting,0.0,0.0,US,0.0,,EAGLE PRECISION CAST PARTS,MI,"Engineering and Design,Finish Machining,Heat Treat,Rough Machining,Surface Treatments",49442.0
,0.0,0.0,US,0.0,,EBAA IRON INC,TX,,76430.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Vertically Parted,Green Sand-Horizontally Parted",0.0,300.0,US,250.0,Ductile Iron,EBAA IRON INC,TX,"Engineering and Design,Finish Machining,Heat Treat,Patternmaking,Rough Machining",76448.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted,Permanent Mold-Gravity/Tilt Pour,Permanent Mold-Low Pressure,Shell Mold,Squeeze/Semisolid",0.1,750.0,US,250.0,"Aluminum Copper (200 Series),Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series)",ECK INDUSTRIES,WI,"Engineering and Design,Heat Treat,Prototyping",54220.0
Green Sand-Horizontally Parted,0.0,0.0,US,0.0,"Ductile Iron,Gray Iron",EJ,OK,,73401.0
"Air-Set/Nobake,Green Sand-Vertically Parted",0.0,0.0,US,0.0,"Ductile Iron,Gray Iron",EJ,MI,,49727.0
,0.0,0.0,US,0.0,,ELKHART BRASS MFG CO INC,IN,,46514.0
"Air-Set/Nobake,Lost Foam (EPC/Full Mold)",1.0,6000.0,US,30.0,"Abrasion Resistant Iron,Corrosion Resistant Iron,Ductile Iron,Gray Iron,Heat Resistant Iron",ERHART CHRIS FOUNDRY & MACHINE CO,OH,"Engineering and Design,Heat Treat,Patternmaking,Prototyping",45203.0
"Air-Set/Nobake,Green Sand-Horizontally Parted",5.0,500.0,US,20.0,"Mn/Al-Si Bronze + Cu-Ni Alloys,Other Aluminum",ERIE BRONZE & ALUMINUM CO,PA,"Finish Machining,Heat Treat,Rough Machining",16506.0
,0.0,0.0,US,40.0,,EXONE,PA,,15642.0
"Air-Set/Nobake,Green Sand-Horizontally Parted,Permanent Mold-Gravity/Tilt Pour",0.0,500.0,US,150.0,Aluminum Silicon (300 Series),FAIRFIELD ALUMINUM CASTING CO,IA,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",52556.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Vertically Parted,Green Sand-Horizontally Parted",1.0,100.0,US,235.0,"Ductile Iron,Gray Iron",FAIRFIELD CASTINGS LLC,IA,"Coating,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining",52556.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted,Shell Mold",1.0,12000.0,US,75.0,"Abrasion Resistant Iron,Aluminum Copper (200 Series),Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),Aluminum Silicon (400 Series),Austempered Ductile Iron,Corrosion Resistant Iron,Ductile Iron,Gray Iron,Heat Resistant Iron,Other Cast Irons,Red/Yellow Brass/Tin-Bronze",FAIRMOUNT FOUNDRY INC,PA,,19526.0
"Air-Set/Nobake,Gas-Hardened/Coldbox",100.0,18000.0,US,90.0,"High Copper Alloys,Mn/Al-Si Bronze + Cu-Ni Alloys,Red/Yellow Brass/Tin-Bronze",FALCON FOUNDRY CO,OH,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining,Surface Treatments",44436.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Vertically Parted,Green Sand-Horizontally Parted,Shell Mold",0.0,4000.0,US,45.0,"Aluminum Silicon (300 Series),Corrosion Resistant Steel,Mn/Al-Si Bronze + Cu-Ni Alloys,Nickel-Base,Other Aluminum,Other Copper-Base Alloys,Other Nonferrous,Red/Yellow Brass/Tin-Bronze",FEDERAL BRONZE CASTING IND INC,NJ,"Coating,Finish Machining,Heat Treat,Patternmaking,Rough Machining",7105.0
"Air-Set/Nobake,Green Sand-Horizontally Parted,Shell Mold",0.1,100.0,US,0.0,"Austempered Ductile Iron,Ductile Iron,Gray Iron",FERROLOY INC,KS,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",67219.0
Air-Set/Nobake,10.0,7500.0,US,50.0,"Carbon Steel,Corrosion Resistant Steel,Heat Resistant Steel,Low Alloy Steel,Nickel-Base,Superalloys",FISHER CAST STEEL PRODUCTS INC,OH,"Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",43162.0
"Air-Set/Nobake,Green Sand-Horizontally Parted",0.0,75.0,US,19.0,Red/Yellow Brass/Tin-Bronze,FLURY FOUNDRY CO,PA,,17601.0
"Air-Set/Nobake,Green Sand-Horizontally Parted",0.0,50.0,US,21.0,"Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series)",FOLEY PATTERN CO INC,IN,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Patternmaking,Prototyping,Rough Machining",46706.0
Air-Set/Nobake,200.0,15000.0,Canada,55.0,"Compacted Graphite Iron,Ductile Iron,Other Cast Irons",FONDERIE SAGUENAY,Quebec,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",0.0
Green Sand-Horizontally Parted,1.0,100.0,US,250.0,Red/Yellow Brass/Tin-Bronze,FORD METER BOX CO INC,IN,"Assembly,Engineering and Design,Finish Machining,Painting,Patternmaking,Rough Machining,Surface Treatments",46992.0
Green Sand-Horizontally Parted,0.0,50.0,US,50.0,Ductile Iron,FRANKLIN IRON WORKS INC,AL,"Assembly,Engineering and Design,Heat Treat,Patternmaking",35171.0
"Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",0.0,300.0,US,265.0,"Mn/Al-Si Bronze + Cu-Ni Alloys,Other Copper-Base Alloys,Red/Yellow Brass/Tin-Bronze",FRESNO VALVES & CASTINGS INC,CA,"Assembly,Engineering and Design,Finish Machining,Painting,Patternmaking,Prototyping,Rough Machining",93662.0
"Green Sand-Horizontally Parted,Shell Mold,Squeeze/Semisolid",0.0,90.0,US,8.0,"Aluminum Silicon (300 Series),Other Aluminum",FRIENDS FOUNDRY INC,RI,,2895.0
"Air-Set/Nobake,Green Sand-Horizontally Parted",0.0,65.0,US,50.0,"Austempered Ductile Iron,Ductile Iron,Gray Iron",GALESBURG CASTINGS INC,IL,"Engineering and Design,Finish Machining,Heat Treat,Painting,Prototyping,Rough Machining",61402.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Vertically Parted,Green Sand-Horizontally Parted,Investment Casting,Permanent Mold-Gravity/Tilt Pour,Permanent Mold-Low Pressure,Plaster Mold,Shell Mold",0.25,500.0,US,70.0,"Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),Other Aluminum,Zinc-Base",GENERAL FOUNDRY SERVICE,CA,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",94577.0
Green Sand-Horizontally Parted,0.0,0.0,Mexico,0.0,"Ductile Iron,Gray Iron",GENERAL MOTORS DE MEXICO SA DE CV,Estado de Mexico,,50070.0
"Diecasting,Permanent Mold-Gravity/Tilt Pour",0.0,0.0,US,675.0,Aluminum Silicon (300 Series),GENERAL MOTORS POWERTRAIN CORP - BEDFORD PLANT,IN,"Engineering and Design,Patternmaking",47421.0
Green Sand-Horizontally Parted,0.0,0.0,US,1216.0,"Aluminum Silicon (300 Series),Ductile Iron,Gray Iron",GENERAL MOTORS POWERTRAIN CORP - GM POWERTRAIN GROUP,OH,"Engineering and Design,Patternmaking",43512.0
"Green Sand-Horizontally Parted,Permanent Mold-Gravity/Tilt Pour",0.0,0.0,US,628.0,Aluminum Silicon (300 Series),GENERAL MOTORS POWERTRAIN CORP - SAGINAW METALCASTING OPERATIONS,MI,"Engineering and Design,Patternmaking",48601.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",5.0,800.0,US,300.0,"Austempered Ductile Iron,Ductile Iron,Gray Iron",GOLDENS FOUNDRY & MACHINE CO,GA,"Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Rough Machining",31901.0
,10.0,150.0,US,0.0,"Ductile Iron,Gray Iron",GOLDENS FOUNDRY & MACHINE CO,GA,,31015.0
Shell Mold,0.01,80.0,US,47.0,"Aluminum Silicon (300 Series),Austempered Ductile Iron,Ductile Iron,Gray Iron,Red/Yellow Brass/Tin-Bronze",GRAHAM WHITE MFG,VA,Patternmaking,24153.0
"Gas-Hardened/Coldbox,Green Sand-Vertically Parted,Green Sand-Horizontally Parted",0.5,50.0,US,225.0,Gray Iron,GREAT LAKES CASTINGS LLC,MI,"Heat Treat,Patternmaking",49431.0
Shell Mold,0.0,50.0,US,0.0,"Abrasion Resistant Iron,Austempered Ductile Iron,Ductile Iron,Gray Iron",HILER INDUSTRIES,IN,"Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining,Surface Treatments",46352.0
Air-Set/Nobake,1.0,700.0,US,9.0,"Abrasion Resistant Iron,Carbon Steel,Cobalt-Base,Corrosion Resistant Iron,Corrosion Resistant Steel,Gray Iron,Heat Resistant Iron,Heat Resistant Steel,Low Alloy Steel,Nickel-Base,Superalloys",HOWELL FOUNDRY LLC,LA,Heat Treat,70776.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",2.0,1000.0,US,45.0,"Ductile Iron,Gray Iron",INTERSTATE CASTINGS,IN,"Engineering and Design,Patternmaking",46218.0
Air-Set/Nobake,1.0,200.0,US,110.0,"Abrasion Resistant Iron,Carbon Steel,Corrosion Resistant Iron,Corrosion Resistant Steel,Heat Resistant Steel,Low Alloy Steel,Manganese Steel,Nickel-Base,Other Cast Steel",J & L PRECISION CASTINGS,WI,"Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping",53186.0
"Air-Set/Nobake,Green Sand-Horizontally Parted",5.0,2500.0,US,36.0,"Ductile Iron,Gray Iron,Heat Resistant Iron",J R HOE & SONS,KY,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Patternmaking,Prototyping,Rough Machining",40965.0
"Air-Set/Nobake,Green Sand-Horizontally Parted",0.0,100.0,US,55.0,"Mn/Al-Si Bronze + Cu-Ni Alloys,Red/Yellow Brass/Tin-Bronze",J WALTER MILLER CO,PA,"Assembly,Engineering and Design,Finish Machining,Patternmaking,Prototyping,Rough Machining",17602.0
"Air-Set/Nobake,Green Sand-Horizontally Parted",0.0,60.0,US,55.0,"Abrasion Resistant Iron,Austempered Ductile Iron,Ductile Iron,Gray Iron,Heat Resistant Iron",KANSAS CASTINGS INC,KS,"Coating,Finish Machining,Heat Treat,Patternmaking,Rough Machining",67013.0
"Green Sand-Horizontally Parted,Permanent Mold-Gravity/Tilt Pour",0.0,0.0,US,30.0,"Ductile Iron,Gray Iron,Mn/Al-Si Bronze + Cu-Ni Alloys",KELLY FOUNDRY & MACHINE CO,WV,Patternmaking,26241.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",0.0,60.0,US,100.0,"Ductile Iron,Gray Iron,Malleable Iron",KIRSH FOUNDRY INC,WI,"Engineering and Design,Heat Treat,Painting,Patternmaking,Prototyping",53916.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",1.0,180.0,US,250.0,"Austempered Ductile Iron,Ductile Iron,Gray Iron",KOHLER CO,WI,"Engineering and Design,Finish Machining,Patternmaking,Rough Machining,Surface Treatments",53044.0
Permanent Mold-Gravity/Tilt Pour,0.0,60.0,US,40.0,Aluminum Silicon (300 Series),L A ALUMINUM CASTING CO,ID,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining,Surface Treatments",83835.0
"Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",0.0,60.0,US,16.0,Aluminum Silicon (300 Series),LATROBE FOUNDRY MACHINE & SUPPLY CO,PA,"Finish Machining,Patternmaking,Rough Machining",15650.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Vertically Parted,Green Sand-Horizontally Parted,Shell Mold",0.0,0.0,US,0.0,"Mn/Al-Si Bronze + Cu-Ni Alloys,Other Copper-Base Alloys,Red/Yellow Brass/Tin-Bronze",LEE BRASS CO,AL,"Assembly,Engineering and Design,Finish Machining,Patternmaking,Rough Machining",36202.0
Green Sand-Horizontally Parted,0.0,80.0,US,33.0,Gray Iron,LEMFCO INC,IL,"Finish Machining,Rough Machining",61036.0
"Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",1.0,500.0,Canada,120.0,"Abrasion Resistant Iron,Austempered Ductile Iron,Ductile Iron,Other Cast Irons",LETHBRIDGE IRON WORKS CO LTD,Alberta,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",0.0
Green Sand-Vertically Parted,1.0,25.0,US,270.0,Gray Iron,LODGE MFG CO,TN,,37380.0
"Air-Set/Nobake,Green Sand-Horizontally Parted,Permanent Mold-Gravity/Tilt Pour,Squeeze/Semisolid",0.25,225.0,US,90.0,"Aluminum Copper (200 Series),Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),Aluminum Silicon (400 Series),Gray Iron,High Copper Alloys,Mn/Al-Si Bronze + Cu-Ni Alloys,Other Aluminum,Other Copper-Base Alloys,Red/Yellow Brass/Tin-Bronze,Zinc-Base",LOUIS MESKAN FOUNDRY INC,IL,"Assembly,Coating,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",60639.0
Air-Set/Nobake,25.0,10000.0,US,30.0,"Abrasion Resistant Iron,Carbon Steel,Compacted Graphite Iron,Corrosion Resistant Iron,Corrosion Resistant Steel,Ductile Iron,Gray Iron,Heat Resistant Iron,Heat Resistant Steel,Low Alloy Steel,Malleable Iron,Manganese Steel",MACKENZIE CASTINGS LLC,WA,"Finish Machining,Heat Treat,Patternmaking,Rough Machining",98223.0
"Air-Set/Nobake,Gas-Hardened/Coldbox",1.0,1200.0,US,150.0,"Aluminum Silicon (300 Series),Red/Yellow Brass/Tin-Bronze",MATTHEWS INTERNATIONAL CORP,PA,,15226.0
"Air-Set/Nobake,Gas-Hardened/Coldbox,Shell Mold",1.0,6000.0,US,50.0,"Abrasion Resistant Iron,Carbon Steel,Corrosion Resistant Iron,Corrosion Resistant Steel,Ductile Iron,Gray Iron,Heat Resistant Iron,Heat Resistant Steel,Low Alloy Steel,Other Cast Steel",MAY FOUNDRY & MACHINE CO,UT,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",84103.0
"Air-Set/Nobake,Centrifugal Casting,Continuous,Gas-Hardened/Coldbox,Green Sand-Vertically Parted,Green Sand-Horizontally Parted",1.0,1800.0,US,16.0,"Aluminum Silicon (300 Series),Mn/Al-Si Bronze + Cu-Ni Alloys,Red/Yellow Brass/Tin-Bronze",MCHENRY BRASS INC,KY,"Engineering and Design,Finish Machining,Heat Treat,Patternmaking,Rough Machining",42354.0
