Address,Casting Processes,Casting Size (From),Casting Size (To),City,Country,Employees,Fax,Metals,Name,Phone,State,Value Added Processes,Website,Zip
2205 Rusty Kennedy Rd,"Air-Set/Nobake,Gas-Hardened/Coldbox,Permanent Mold-Gravity/Tilt Pour,Permanent Mold-Low Pressure",5,100,New Hampton,US,140,(641) 394-1702,"Aluminum Copper (200 Series),Aluminum Silicon (300 Series)",ATEK METAL TECHNOLOGIES,(641) 394-1700,IA,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",http://www.atekmetaltechnologies.com,50659
601 N Henderson Ave,"Gas-Hardened/Coldbox,Green Sand-Vertically Parted",0.25,60,Marion,US,120,(765) 662-2902,Gray Iron,ATLAS FOUNDRY CO INC,(765) 662-2525,IN,"Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining",http://www.atlasfdry.com,46952
1995 Greenfield Rd,"Air-Set/Nobake,Gas-Hardened/Coldbox,Permanent Mold-Gravity/Tilt Pour,Permanent Mold-Low Pressure,Shell Mold",1,300,Montgomery,US,135,(630) 844-6839,"Aluminum Silicon (300 Series),Austempered Ductile Iron,Corrosion Resistant Steel,Ductile Iron,Gray Iron,Mn/Al-Si Bronze + Cu-Ni Alloys,Other Copper-Base Alloys,Superalloys",AURORA METALS DIVISION LLC (HILER INDUSTRIES),(630) 844-4900,IL,"Engineering and Design,Finish Machining,Prototyping,Rough Machining",http://www.aurorametals.com,60538-1140
814 N Wildwood Ave,"Air-Set/Nobake,Green Sand-Horizontally Parted",0,5000,Sheboygan,US,,(920) 452-1626,"Ductile Iron,Gray Iron",AUSTIN FOUNDRY CORP,(920) 452-1752,WI,,http://www.austinfoundry.com,53081
171 Shafer Dr,"Air-Set/Nobake,Permanent Mold-Low Pressure",0.5,1200,Romeo,US,,,Aluminum Copper (200 Series),AWCCO USA INC,(586) 336-9135,MI,"Engineering and Design,Finish Machining,Heat Treat,Patternmaking,Prototyping",http://www.awcco.com,48065
135 East Hodges Street,"Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",1,65,Norton,US,30,(508) 285-9832,"Aluminum Silicon (300 Series),Magnesium,Mn/Al-Si Bronze + Cu-Ni Alloys,Red/Yellow Brass/Tin-Bronze",BABS FOUNDRY INC,(508) 285-9831,MA,Engineering and Design,http://www.babsfoundry.com,02766
5120 W State St,"Air-Set/Nobake,Gas-Hardened/Coldbox",1,4300,Milwaukee,US,125,(414) 256-8037,"Carbon Steel,Cobalt-Base,Ductile Iron,Gray Iron,Heat Resistant Steel,Nickel-Base,Red/Yellow Brass/Tin-Bronze,Superalloys",BADGER ALLOYS INC,(414) 258-8200,WI,"Engineering and Design,Finish Machining,Heat Treat,Patternmaking,Prototyping,Rough Machining,Surface Treatments",http://www.badgeralloys.com,53208
2545 S Lincoln Blvd,"Air-Set/Nobake,Lost Foam (EPC/Full Mold)",1,3000,Marion,US,49,(765) 662-1340,"Abrasion Resistant Iron,Austempered Ductile Iron,Carbon Steel,Compacted Graphite Iron,Corrosion Resistant Iron,Corrosion Resistant Steel,Ductile Iron,Gray Iron,Heat Resistant Iron,Heat Resistant Steel,Low Alloy Steel,Manganese Steel",BAHR BROS MFG INC,(765) 664-6235,IN,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",http://www.bahrbros.com,46953-3802
133 Enterprise St,"Air-Set/Nobake,Green Sand-Horizontally Parted",0,200,Evansville,US,130,(608) 882-2736,"Austempered Ductile Iron,Compacted Graphite Iron,Ductile Iron",BAKER MANUFACTURING CO LLC,(608) 882-5100,WI,"Painting,Prototyping",http://www.bakercasting.com,53536
525 Hazel St,"Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",0,100,Auburn,US,30,(260) 925-3517,"Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),Magnesium,Mn/Al-Si Bronze + Cu-Ni Alloys,Other Aluminum,Red/Yellow Brass/Tin-Bronze,Zinc-Base",BALL BRASS & ALUMINUM FOUNDRY,(260) 925-3515,IN,"Engineering and Design,Heat Treat",http://www.ballbrass.com,46706
4165 Brodhead Rd,Air-Set/Nobake,1,5000,Monaca,US,48,(724) 775-1474,"Abrasion Resistant Iron,Carbon Steel,Corrosion Resistant Steel,Ductile Iron,Gray Iron,Heat Resistant Iron,Heat Resistant Steel,Low Alloy Steel,Manganese Steel",BEAVER VALLEY ALLOY FOUNDRY CO,(724) 775-1987,PA,"Assembly,Finish Machining,Heat Treat,Patternmaking,Rough Machining",http://www.bvalley.com,15061-2425
1518 12th St,"Air-Set/Nobake,Green Sand-Horizontally Parted",25,10000,Boone,US,60,(515) 432-7742,"Abrasion Resistant Iron,Corrosion Resistant Iron,Ductile Iron,Gray Iron",BESSER CO,(515) 432-3553,IA,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining,Surface Treatments",http://www.besser.com,50036
45 Affonso Dr,"Air-Set/Nobake,Centrifugal Casting,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted,Permanent Mold-Gravity/Tilt Pour,Shell Mold",0,650,Carson City,US,20,(775) 246-9078,"Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),Other Aluminum",BETRA MFG CO,(775) 246-9060,NV,"Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",http://www.betramfg.com/,89706
601 Nalle Pl,Green Sand-Vertically Parted,,,Culpeper,US,,(540) 825-2173,Gray Iron,BINGHAM & TAYLOR CORP,(540) 825-8334,VA,,http://www.binghamandtaylor.com,22701
Carretera a Villa de Garcia Km 2.5 1A Parque Industrial Diamente,"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",5,700,Santa Catarina,Mexico,400,52 (81) 8151-0305,"Ductile Iron,Gray Iron",BLACKHAWK DE MEXICO,52 (81) 8151-0323,Nuevo Leon,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Prototyping",http://www.blackhawk.com.mx,66350
301 James Lawrence Rd,"Green Sand-Horizontally Parted,Permanent Mold-Gravity/Tilt Pour",,,Jackson,US,,(731) 265-5513,Aluminum Silicon (300 Series),BODINE ALUMINUM INC,(731) 265-5500,TN,,http://www.bodinealuminum.com,38301
2100 Walton Rd,"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted,Permanent Mold-Gravity/Tilt Pour",0,150,St Louis,US,200,(314) 423-0318,Aluminum Silicon (300 Series),BODINE ALUMINUM INC,(314) 423-8200,MO,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",http://www.bodinealuminum-stl.com,63114
100 Cherry Blossom Way,"Diecasting,Permanent Mold-Gravity/Tilt Pour,Permanent Mold-Low Pressure",12,40,Troy,US,300,(636) 462-2213,Aluminum Silicon (300 Series),BODINE ALUMINUM INC - TROY PLANT,(636) 462-2200,MO,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining,Surface Treatments",http://www.bodinealuminum.com,63379-2516
77 North Reamstown Rd,"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",1,2000,Reamstown,US,110,(717) 336-4370,"Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series)",BOOSE ALUMINUM FOUNDRY CO INC,(717) 336-5581,PA,"Heat Treat,Patternmaking",http://www.boosealum.com,17567
402 Schaeffer Rd,"Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",0,80,Lebanon,US,50,,Aluminum Silicon (300 Series),BOOSE AT CORNWALL INC,(717) 272-9775,PA,"Engineering and Design,Finish Machining,Heat Treat,Patternmaking,Rough Machining",http://www.booseatcornwall.com,17042-8876
12200 NW Ambassador Dr Ste 647,Air-Set/Nobake,50,70000,Kansas City,US,1500,(816) 270-0799,"Abrasion Resistant Iron,Carbon Steel,Corrosion Resistant Steel,Heat Resistant Steel,Low Alloy Steel",BRADKEN INC,(816) 270-0700,MO,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",http://bradken.com/our-business/engineered-products,64163
500 N Baltimore St,"Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",0.5,75,Bremen,US,250,,"Austempered Ductile Iron,Ductile Iron,Gray Iron,Heat Resistant Iron,Other Cast Irons",BREMEN CASTINGS INC,(574) 546-2411,IN,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",http://www.bremencastings.com,46506
1599 Edwards Street,Air-Set/Nobake,2,3000,Hattiesburg,US,55,(601) 544-4937,"Abrasion Resistant Iron,Gray Iron",C L DEWS & SONS FOUNDRY & MACHINERY CO INC,(601) 582-4427,MS,"Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining",http://www.dewsfoundry.com,39401-5520
1500 4th Avenue,"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",2,150,Cadillac,US,450,(231) 779-9640,"Ductile Iron,Heat Resistant Iron,Other Cast Irons",CADILLAC CASTING INC,(231) 779-9600,MI,"Assembly,Engineering and Design,Finish Machining,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",http://www.cadillaccasting.com,49601
7733 Progress Way,"Diecasting,Permanent Mold-Gravity/Tilt Pour",0,6,Delta,Canada,250,(604) 952-2650,"Aluminum Silicon (300 Series),Aluminum Silicon (400 Series),Lead,Other Aluminum,Other Nonferrous,Zinc-Base",CANADA METAL (PACIFIC) LTD,(604) 940-2010,British Columbia,"Assembly,Coating,Engineering and Design,Finish Machining,Painting,Patternmaking,Rough Machining,Surface Treatments",http://www.canmet.com,V4G 1A3
6108 Maple Springs Rd,"Air-Set/Nobake,Investment Casting,Lost Foam (EPC/Full Mold),Plaster Mold,Shell Mold",0.25,275,Seagrove,US,12,(336) 873-8291,"Aluminum Silicon (400 Series),Mn/Al-Si Bronze + Cu-Ni Alloys",CAROLINA BRONZE SCULPTURE INC,(336) 873-8291,NC,"Assembly,Coating,Engineering and Design,Finish Machining,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",http://www.carolinabronze.com,27341-9047
354 Industrial Park Rd,Air-Set/Nobake,1,2000,Hardeeville,US,15,(843) 784-3627,"Abrasion Resistant Iron,Corrosion Resistant Steel,Ductile Iron,Gray Iron,Heat Resistant Steel,Low Alloy Steel,Other Cast Irons",CAROLINA METAL CASTINGS,(843) 784-2251,SC,"Finish Machining,Heat Treat,Patternmaking,Rough Machining",http://www.replacementmetalcastings.com,29927
1310 Kingsland Dr,"Permanent Mold-Gravity/Tilt Pour,Permanent Mold-Low Pressure",0,150,Batavia,US,80,(630) 879-1101,"Aluminum Silicon (300 Series),Other Aluminum",CAST ALUMINUM SOLUTIONS LLC,(630) 879-2696,IL,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Rough Machining",http://www.castaluminumsolutions.com,60510
1100 SW Washington St,"Green Sand-Horizontally Parted,Permanent Mold-Gravity/Tilt Pour",1,400,Peoria,US,110,(309) 676-2167,"Aluminum Copper (200 Series),Aluminum Silicon (300 Series),Mn/Al-Si Bronze + Cu-Ni Alloys,Other Aluminum,Red/Yellow Brass/Tin-Bronze",CAST TECHNOLOGIES INC,(309) 676-2157,IL,"Assembly,Finish Machining,Heat Treat,Painting,Prototyping,Rough Machining",http://www.casttechnologies.net,61602-1633
1701 Industrial Ln,"Air-Set/Nobake,Gas-Hardened/Coldbox,Shell Mold",1,600,Waukesha,US,120,(262) 547-2215,"Abrasion Resistant Iron,Heat Resistant Iron,Heat Resistant Steel,Low Alloy Steel,Manganese Steel",CASTALLOY INC,(262) 547-0070,WI,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining,Surface Treatments",http://www.castalloycorp.com,53189
2345 Licking Rd,"Air-Set/Nobake,Green Sand-Vertically Parted,Green Sand-Horizontally Parted",1,580,Zanesville,US,120,(740) 450-8081,"Ductile Iron,Gray Iron",CASTING SOLUTIONS LLC,(740) 452-9371,OH,"Finish Machining,Rough Machining",http://www.castingsolutions.com,43702
7800 Austin Ave,"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Vertically Parted,Green Sand-Horizontally Parted,Shell Mold",0,60,Skokie,US,230,(847) 966-8876,"Abrasion Resistant Iron,Austempered Ductile Iron,Carbon Steel,Corrosion Resistant Iron,Ductile Iron,Gray Iron,Heat Resistant Iron,Heat Resistant Steel,Other Cast Irons",CASTWELL PRODUCTS LLC,(847) 966-5050,IL,"Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Prototyping,Rough Machining",http://www.castwell.com,60077-2641
Carr A Villa de Garcia Km 4.5,,,,Santa Catarina,Mexico,,,"Other Cast Irons,Other Cast Steel",CATERPILLAR DE MEXICO,52 (81) 8319 3577,Nuevo Leon,,http://www.cat.com,66350
1100 N Illinois St,"Air-Set/Nobake,Green Sand-Horizontally Parted,Permanent Mold-Gravity/Tilt Pour,Permanent Mold-Low Pressure",1,200,Belleville,US,75,(618) 233-8618,"Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),Aluminum Silicon (400 Series),Magnesium,Mn/Al-Si Bronze + Cu-Ni Alloys,Red/Yellow Brass/Tin-Bronze",CENTURY BRASS WORKS INC,(618) 233-0182,IL,"Assembly,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining",http://www.century-brass.com,62226-4378
102 S 29th St,Air-Set/Nobake,5,1600,Blackwell,US,40,(580) 363-1662,"Ductile Iron,Gray Iron",CFM CORP,(580) 363-2850,OK,"Assembly,Finish Machining,Patternmaking,Rough Machining",http://www.cfmfoundry.com,74631
6060 W Douglas Ave,"Permanent Mold-Gravity/Tilt Pour,Permanent Mold-Low Pressure",1,10,Milwaukee,US,250,(414) 358-4065,"Mn/Al-Si Bronze + Cu-Ni Alloys,Red/Yellow Brass/Tin-Bronze",CHICAGO FAUCET CO,(414) 358-4060,WI,"Engineering and Design,Finish Machining,Rough Machining",http://www.starlinemfg.com,53218
14101 Seeley Ave,"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",1,50,Blue Island,US,80,(708)597-2151,"Aluminum Silicon (300 Series),Magnesium",CHICAGO MAGNESIUM CASTING CO,(708) 597-1300,IL,"Engineering and Design,Heat Treat,Surface Treatments",http://www.chicagomagnesium.com,60406-3779
6401 E 40th St,Green Sand-Horizontally Parted,,,Kansas City,US,50,(816) 924-3903,Aluminum Silicon (300 Series),CLAY & BAILEY MFG CO,(800) 821-6583,MO,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining,Surface Treatments",http://www.claybailey.com,64129-1711
10425 N Bloss Ave,Green Sand-Horizontally Parted,50,40000,Portland,US,350,(503) 286-1743,"Abrasion Resistant Iron,Carbon Steel,Corrosion Resistant Steel,Heat Resistant Iron,Heat Resistant Steel,Low Alloy Steel,Manganese Steel,Other Cast Irons,Other Cast Steel",COLUMBIA STEEL CASTING CO INC,(503) 286-0685,OR,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining",http://www.columbiasteel.com,97203
125 Hwy 501 East,"Air-Set/Nobake,Investment Casting",0,2000,Conway,US,300,(843) 347-3476,"Carbon Steel,Corrosion Resistant Steel,Heat Resistant Steel,Low Alloy Steel,Nickel-Base,Superalloys,Titanium",CONBRACO INDUSTRIES INC,(843) 347-4666,SC,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Patternmaking,Prototyping,Rough Machining",http://www.apollovalves.com,29526
701 Matthews Mint Hill Rd,"Air-Set/Nobake,Green Sand-Horizontally Parted,Investment Casting,Shell Mold",,,Matthews,US,300,(843) 672-1511,"Carbon Steel,Corrosion Resistant Steel,High Copper Alloys,Low Alloy Steel,Mn/Al-Si Bronze + Cu-Ni Alloys",CONBRACO INDUSTRIES INC,(704) 841-6000,NC,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Patternmaking,Rough Machining",http://www.apollovalves.com,28105
1509 S Van L Mungo Blvd/Hwy 151 ByPass,Green Sand-Horizontally Parted,,,Pageland,US,80,(843) 672-1512,"High Copper Alloys,Other Copper-Base Alloys",CONBRACO INDUSTRIES INC,(843) 672-1508,SC,,http://www.conbraco.com,29728
8701 Harriet Ave S,"Air-Set/Nobake,Gas-Hardened/Coldbox",5,500,Bloomington,US,515,(952) 887-7858,"Aluminum Copper (200 Series),Aluminum Silicon (300 Series),Magnesium",CPP - MINNEAPOLIS,(952) 887-7800,MN,"Assembly,Engineering and Design,Heat Treat,Patternmaking",http://www.cppcorp.com,55420
60 3rd St South,"Air-Set/Nobake,Diecasting,Green Sand-Vertically Parted,Investment Casting,Permanent Mold-Gravity/Tilt Pour,Permanent Mold-Low Pressure,Plaster Mold",0,1000,Montrose,US,20,(763) 675-3177,"Aluminum Silicon (300 Series),Austempered Ductile Iron,Carbon Steel,Ductile Iron,Gray Iron,Malleable Iron",CRAFT PATTERN & MOLD INC,(763) 675-3169,MN,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",http://www.craftpattern.com,55363
310 W Wrentham Rd,"Air-Set/Nobake,Green Sand-Horizontally Parted",0.25,800,Cumberland,US,42,(401) 658-3322,"Ductile Iron,Gray Iron",CUMBERLAND FOUNDRY CO INC,(401) 658-3300,RI,"Heat Treat,Patternmaking",http://www.cumberlandfoundry.com,02864
1215 N 31st Ave,"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Vertically Parted,Green Sand-Horizontally Parted",1,50,Melrose Park,US,30,(708) 345-1184,"Aluminum Copper (200 Series),Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),Magnesium",CURTO-LIGONIER FOUNDRIES CO,(708) 345-2250,IL,"Engineering and Design,Finish Machining,Heat Treat,Patternmaking,Rough Machining,Surface Treatments",http://www.curto.com,60160
1085 W Sherman Blvd,Green Sand-Horizontally Parted,1,50,Muskegon,US,315,(231) 739-2743,"Ductile Iron,Gray Iron",CWC TEXTRON,(231) 739-2761,MI,"Engineering and Design,Heat Treat,Rough Machining",http://www.textron.com,49441
12970 Wheeler Rd NE,"Air-Set/Nobake,Green Sand-Horizontally Parted",10,1000,Moses Lake,US,150,(509) 765-8124,"Ductile Iron,Gray Iron",D & L FOUNDRY INC,(509) 765-7952,WA,Patternmaking,http://www.dlfoundry.us,98837
692 North Bedford Street,"Air-Set/Nobake,Centrifugal Casting",0.25,3000,East Bridgewater,US,50,(508) 378-9710,"Abrasion Resistant Iron,Carbon Steel,Cobalt-Base,Corrosion Resistant Iron,Corrosion Resistant Steel,Ductile Iron,Gray Iron,Heat Resistant Iron,Heat Resistant Steel,High Copper Alloys,Low Alloy Steel,Mn/Al-Si Bronze + Cu-Ni Alloys,Nickel-Base,Red/Yellow Brass/Tin-Bronze,Superalloys",D W CLARK INC,(508) 378-4014,MA,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",http://www.dwclark.com,02333
20 Park Lane,,,,Webster,US,43,,"Ductile Iron,Gray Iron",DAKOTA FOUNDRY,(605) 345-3349,SD,,http://www.dakotafoundry.com,57274
1745 N Illinois St,Air-Set/Nobake,50,15000,Decatur,US,115,(217) 425-2834,"Compacted Graphite Iron,Ductile Iron,Gray Iron",DECATUR FOUNDRY INC,(217) 429-5261,IL,"Engineering and Design,Finish Machining,Painting,Patternmaking,Prototyping,Rough Machining",http://www.decaturfoundry.com,62526
5945 N 70th St,"Air-Set/Nobake,Green Sand-Vertically Parted,Green Sand-Horizontally Parted",5,1400,Lincoln,US,250,(402) 464-8533,Gray Iron,DEETER FOUNDRY INC,(800) 234-7466,NE,"Assembly,Finish Machining,Patternmaking,Rough Machining",http://www.deeter.com,68529
22 Fielder Dr,"Air-Set/Nobake,Gas-Hardened/Coldbox,Permanent Mold-Gravity/Tilt Pour,Permanent Mold-Low Pressure",1,3000,Denison,US,148,,"Aluminum Copper (200 Series),Aluminum Silicon (300 Series),Other Aluminum",DENISON INDUSTRIES,(903) 786-6500,TX,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",http://www.denisonindustries.com,75020-8654
100 S Jacob St,,1,250,Mount Joy,US,,(717) 653-0831,"Ductile Iron,Gray Iron",DONSCO INC,(717) 653-1851,PA,,http://www.donsco.com,17552
124 N Front St,"Gas-Hardened/Coldbox,Green Sand-Vertically Parted,Green Sand-Horizontally Parted",1,200,Wrightsville,US,350,(717) 252-0877,"Austempered Ductile Iron,Ductile Iron,Gray Iron,Heat Resistant Iron",DONSCO INC,(717) 252-1561,PA,"Assembly,Coating,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining",http://www.donsco.com,17368
200 W Rock St,"Gas-Hardened/Coldbox,Green Sand-Horizontally Parted",2,50,Mankato,US,150,(507) 345-1270,"Austempered Ductile Iron,Ductile Iron",DOTSON IRON CASTINGS,(507) 345-5018,MN,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",http://www.dotson.com,56001
400 Blue Chip Ct,Air-Set/Nobake,1,100,Franklin,US,48,(317) 738-5967,"Aluminum Copper (200 Series),Aluminum Silicon (300 Series),Aluminum Silicon (400 Series),Ductile Iron,Gray Iron,Heat Resistant Iron",DUALTECH INNOVATIVE CASTING TECH,(317) 738-5966,IN,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",http://www.innovative-castings.com,46131
145 Market St,"Air-Set/Nobake,Green Sand-Horizontally Parted,Shell Mold,Squeeze/Semisolid",,,Somonauk,US,75,(815) 498-2700,"Aluminum Copper (200 Series),Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),Magnesium",DURO CAST INC,(815) 498-2317,IL,"Assembly,Engineering and Design,Finish Machining,Painting,Patternmaking,Rough Machining,Surface Treatments",http://www.precision-enterprises.com,60552
5142 Evanston Ave,"Gas-Hardened/Coldbox,Investment Casting,Permanent Mold-Gravity/Tilt Pour,Shell Mold",3,400,Muskegon,US,400,(231) 788-5515,"Aluminum Silicon (300 Series),Carbon Steel,Corrosion Resistant Steel,Heat Resistant Steel,Low Alloy Steel,Other Aluminum",EAGLE ALLOY INC,(231) 788-2351,MI,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",http://www.eaglegroupmanufacturers.com,49442
5112 Evanston Ave,Investment Casting,,,Muskegon,US,,(231) 788-5409,,EAGLE PRECISION CAST PARTS,(231) 788-3318,MI,"Engineering and Design,Finish Machining,Heat Treat,Rough Machining,Surface Treatments",http://www.eagleprecisioncastparts.com,49442
PO Box 3157,,,,Albany,US,,(325)762-3493,,EBAA IRON INC,(915) 762-3084,TX,,http://www.ebba.com,76430
702 County Rd 442,"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Vertically Parted,Green Sand-Horizontally Parted",0,300,Eastland,US,250,(254) 629-2910,Ductile Iron,EBAA IRON INC,(254) 629-1737,TX,"Engineering and Design,Finish Machining,Heat Treat,Patternmaking,Rough Machining",http://www.ebaa.com,76448
1602 N 8th St,"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted,Permanent Mold-Gravity/Tilt Pour,Permanent Mold-Low Pressure,Shell Mold,Squeeze/Semisolid",0.1,750,Manitowoc,US,250,(920) 682-9298,"Aluminum Copper (200 Series),Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series)",ECK INDUSTRIES,(920) 682-4618,WI,"Engineering and Design,Heat Treat,Prototyping",http://www.eckindustries.com,54220
270 Redwing Rd Ardmore Industrial Air Park,Green Sand-Horizontally Parted,,,Ardmore,US,,(580) 389-5012,"Ductile Iron,Gray Iron",EJ,(580) 389-5010,OK,,http://www.ejco.com,73401
301 Spring St,"Air-Set/Nobake,Green Sand-Vertically Parted",,,East Jordan,US,,(231) 536-4458,"Ductile Iron,Gray Iron",EJ,(231) 536-2261,MI,,http://www.ejco.com,49727
1302 W Beardsley Ave,,,,Elkhart,US,,,,ELKHART BRASS MFG CO INC,(574) 295-8330,IN,,http://www.elkhartbrass.com,46514-1828
1240 Mehring Way,"Air-Set/Nobake,Lost Foam (EPC/Full Mold)",1,6000,Cincinnati,US,30,(513) 421-6552,"Abrasion Resistant Iron,Corrosion Resistant Iron,Ductile Iron,Gray Iron,Heat Resistant Iron",ERHART CHRIS FOUNDRY & MACHINE CO,(513) 421-6550,OH,"Engineering and Design,Heat Treat,Patternmaking,Prototyping",http://www.erhart.com,45203
6300 W Ridge Rd,"Air-Set/Nobake,Green Sand-Horizontally Parted",5,500,Erie,US,20,(814) 838-8917,"Mn/Al-Si Bronze + Cu-Ni Alloys,Other Aluminum",ERIE BRONZE & ALUMINUM CO,(814) 838-8602,PA,"Finish Machining,Heat Treat,Rough Machining",http://www.eriebronze.com,16506
127 Industry Blvd,,,,Irwin,US,40,,,EXONE,(724) 863-9663,PA,,http://www.prometal.com,15642-3461
603 North 8th Street,"Air-Set/Nobake,Green Sand-Horizontally Parted,Permanent Mold-Gravity/Tilt Pour",0,500,Fairfield,US,150,(641) 472-9532,Aluminum Silicon (300 Series),FAIRFIELD ALUMINUM CASTING CO,(641) 472-2191,IA,"Assembly,Coating,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Prototyping,Rough Machining,Surface Treatments",http://www.falcoia.com,52556
905 W Depot,"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Vertically Parted,Green Sand-Horizontally Parted",1,100,Fairfield,US,235,(641) 472-9918,"Ductile Iron,Gray Iron",FAIRFIELD CASTINGS LLC,(641) 954-3177,IA,"Coating,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining",http://www.fairfieldcastings.com,52556
Front & Pine Streets,"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Horizontally Parted,Shell Mold",1,12000,Hamburg,US,75,(610) 562-7517,"Abrasion Resistant Iron,Aluminum Copper (200 Series),Aluminum Magnesium (500 Series),Aluminum Silicon (300 Series),Aluminum Silicon (400 Series),Austempered Ductile Iron,Corrosion Resistant Iron,Ductile Iron,Gray Iron,Heat Resistant Iron,Other Cast Irons,Red/Yellow Brass/Tin-Bronze",FAIRMOUNT FOUNDRY INC,(610) 562-7501,PA,,http://www.fairmountfoundry.com,19526
96 Sixth St,"Air-Set/Nobake,Gas-Hardened/Coldbox",100,18000,Lowellville,US,90,(330) 536-6371,"High Copper Alloys,Mn/Al-Si Bronze + Cu-Ni Alloys,Red/Yellow Brass/Tin-Bronze",FALCON FOUNDRY CO,(330) 536-6221,OH,"Assembly,Engineering and Design,Finish Machining,Heat Treat,Painting,Patternmaking,Rough Machining,Surface Treatments",http://www.falconfoundry.com,44436
9 Backus St,"Air-Set/Nobake,Gas-Hardened/Coldbox,Green Sand-Vertically Parted,Green Sand-Horizontally Parted,Shell Mold",0,4000,Newark,US,45,(973) 589-7078,"Aluminum Silicon (300 Series),Corrosion Resistant Steel,Mn/Al-Si Bronze + Cu-Ni Alloys,Nickel-Base,Other Aluminum,Other Copper-Base Alloys,Other Nonferrous,Red/Yellow Brass/Tin-Bronze",FEDERAL BRONZE CASTING IND INC,(973) 589-7575,NJ,"Coating,Finish Machining,Heat Treat,Patternmaking,Rough Machining",http://www.onesourcecc.com,07105
